zip,city,county,deliverable,confirmed deliverable,Pricing Zone
48080,Saint Clair Shores,Macomb,checked,,
48081,Saint Clair Shores,Macomb,checked,,
48082,Saint Clair Shores,Macomb,checked,,
48310,Sterling Heights,Macomb,checked,,
48312,Sterling Heights,Macomb,checked,,
48313,Sterling Heights,Macomb,checked,,
48314,Sterling Heights,Macomb,checked,,
48088,Warren,Macomb,checked,,
48089,Warren,Macomb,checked,,
48091,Warren,Macomb,checked,,
48092,Warren,Macomb,checked,,
48093,Warren,Macomb,checked,,
48397,Warren,Macomb,checked,,
48072,Berkley,Oakland,checked,,
48009,Birmingham,Oakland,checked,,
48017,Clawson,Oakland,checked,,
48220,Ferndale,Oakland,checked,,1
48237,Oak Park,Oakland,checked,,
48067,Royal Oak,Oakland,checked,,
48073,Royal Oak,Oakland,checked,,
48033,Southfield,Oakland,checked,,
48034,Southfield,Oakland,checked,,
48075,Southfield,Oakland,checked,,
48076,Southfield,Oakland,checked,,
48083,Troy,Oakland,checked,,
48084,Troy,Oakland,checked,,
48085,Troy,Oakland,checked,,
48098,Troy,Oakland,checked,,
48201,Detroit,Wayne,checked,,1
48202,Detroit,Wayne,checked,,1
48204,Detroit,Wayne,checked,,1
48205,Detroit,Wayne,checked,,1
48206,Detroit,Wayne,checked,,1
48207,Detroit,Wayne,checked,,1
48208,Detroit,Wayne,checked,,1
48209,Detroit,Wayne,checked,,1
48210,Detroit,Wayne,checked,,1
48211,Detroit,Wayne,checked,,1
48213,Detroit,Wayne,checked,,1
48214,Detroit,Wayne,checked,,1
48215,Detroit,Wayne,checked,,1
48216,Detroit,Wayne,checked,,1
48217,Detroit,Wayne,checked,,1
48219,Detroit,Wayne,checked,,1
48221,Detroit,Wayne,checked,,1
48223,Detroit,Wayne,checked,,1
48224,Detroit,Wayne,checked,,1
48226,Detroit,Wayne,checked,,1
48227,Detroit,Wayne,checked,,1
48228,Detroit,Wayne,checked,,1
48233,Detroit,Wayne,checked,,1
48234,Detroit,Wayne,checked,,1
48235,Detroit,Wayne,checked,,1
48238,Detroit,Wayne,checked,,1
48243,Detroit,Wayne,checked,,1
48230,Grosse Pointe,Wayne,checked,,1
48236,Grosse Pointe,Wayne,checked,,1
48212,Hamtramck,Wayne,checked,,1
48225,Harper Woods,Wayne,checked,,1
48203,Highland Park,Wayne,checked,,
48218,River Rouge,Wayne,checked,,
48705,Barton City,Alcona,,,
48721,Black River,Alcona,,,
48728,Curran,Alcona,,,
48737,Glennie,Alcona,,,
48738,Greenbush,Alcona,,,
48740,Harrisville,Alcona,,,
48742,Lincoln,Alcona,,,
48745,Mikado,Alcona,,,
